outlet_name,postal_code,outlet_type,group1_wins,group2_wins,combined_wins,source,n_outlets_at_postal,shared_postal
Singapore Pools Funan Branch,179105,Branch,6,12,18,matched,1,0
Singapore Pools Circuit Road 64 Branch,370064,Branch,6,14,20,matched,1,0
Singapore Pools Bukit Batok Central Branch,650642,Branch,6,50,56,matched,1,0
Singapore Pools Ang Mo Kio N6 Branch,560630,Branch,6,38,44,matched,1,0
NTUC FairPrice Yishun Ring Road,760849,Authorised Retailer (FairPrice),6,30,36,matched,1,0
NTUC FairPrice Serangoon North Avenue 1,552152,Authorised Retailer (FairPrice),6,32,38,matched,1,0
NTUC FairPrice Havelock Road,160050,Authorised Retailer (FairPrice),6,10,16,matched,1,0
NTUC FairPrice Changi Business Park,486018,Authorised Retailer (FairPrice),6,23,29,matched,1,0
Ng Nam Thye Trading - Taman Jurong,610399,Authorised Retailer,6,27,33,matched,2,1
Li Thoe Trading,380119,Authorised Retailer,6,32,38,matched,2,1
Li Li Cheng Supermarket (Punggol) Pte Ltd,823273,Authorised Retailer,6,23,29,matched,1,0
Cold Storage Compass One,545078,Authorised Retailer,6,39,45,matched,1,0
Chua Yan Kee,142049,,6,8,14,scraped,1,0
Chng Siow Eng Agency,510625,Authorised Retailer,6,26,32,matched,1,0
Cheng Tai Boon Beng,238841,Authorised Retailer,6,21,27,matched,1,0
Cheng Chew Wah Agency - Marine Terrace,440058,Authorised Retailer,6,26,32,matched,1,0
7-Eleven Store McCallum Street,069044,Authorised Retailer (7-Eleven),6,37,43,matched,1,0
Wong Teck Chow Enterprise (Private) Limited,188061,Authorised Retailer,5,5,10,matched,1,0
U Stars Sumang Walk,820218,,5,2,7,scraped,1,0
Tuck Lee Long,560159,Authorised Retailer,5,23,28,matched,1,0
Tay Ah Tho Trading,730768,Authorised Retailer,5,25,30,matched,1,0
Tan Kai Huat Provision Shop,530123,Authorised Retailer,5,17,22,matched,1,0
Singapore Pools Sim Lim Square Branch,188504,Branch,5,28,33,matched,1,0
Singapore Pools Silat Avenue Branch,160150,Branch,5,13,18,matched,1,0
Singapore Pools Siglap Branch,459060,Branch,5,19,24,matched,1,0
Singapore Pools Choa Chu Kang Branch,680303,,5,38,43,scraped,1,0
Singapore Pools Chinatown Point Branch,059413,Branch,5,77,82,matched,1,0
Singapore Pools Chin Swee Branch,160052,Branch,5,19,24,matched,1,0
Singapore Pools Cheong Chin Nam Road Branch,599730,Branch,5,26,31,matched,1,0
Singapore Pools Beo Crescent Branch,160036,Branch,5,25,30,matched,1,0
Sheng Siong Junction 9,768897,Authorised Retailer,5,15,20,matched,1,0
Prime Chai Chee Road,461025,Authorised Retailer,5,16,21,matched,1,0
Overseas Emporium (Private) Limited,059108,Authorised Retailer,5,30,35,matched,1,0
OCN (Singapore) Pte Ltd,120501,Authorised Retailer,5,34,39,matched,1,0
NTUC FairPrice Xpress Macpherson Road,348501,Authorised Retailer (FairPrice),5,26,31,matched,1,0
NTUC FairPrice Marsiling MRT Station,739044,Authorised Retailer (FairPrice),5,24,29,matched,1,0
NTUC FairPrice Lorong 4 Toa Payoh,310192,Authorised Retailer (FairPrice),5,20,25,matched,1,0
NTUC FairPrice Joo Koon,629117,Authorised Retailer (FairPrice),5,23,28,matched,1,0
NTUC FairPrice Jem,608549,Authorised Retailer (FairPrice),5,52,57,matched,1,0
NTUC FairPrice Boon Lay Place,640221,Authorised Retailer (FairPrice),5,46,51,matched,1,0
Nel's Store,470741,Authorised Retailer,5,14,19,matched,1,0
Nalayanee Trading Enterprise,534839,Authorised Retailer,5,17,22,matched,1,0
Lucky Hill,090112,,5,14,19,scraped,1,0
Kim Chwee Trading,600256,Authorised Retailer,5,23,28,matched,1,0
Hin Teck Leong Trading Company - Rowell Road,200640,,5,18,23,scraped,1,0
Giant Parkway Parade,449269,Authorised Retailer (FairPrice),5,16,21,matched,2,1
Everstream Trading,650283,Authorised Retailer,5,49,54,matched,1,0
Dawn Florist,538719,Authorised Retailer,5,23,28,matched,1,0
Cold Storage Northpoint,769098,Branch,5,25,30,matched,2,1
Chuan Hao Departmental Store,131019,Authorised Retailer,5,8,13,matched,1,0
Cheers New Upper Changi Road,461059,,5,21,26,scraped,1,0
Cheers Haig Road,430012,,5,16,21,scraped,1,0
Afro Asia Co Pte Ltd,760604,Authorised Retailer,5,19,24,matched,1,0
