outlet_name,postal_code,onemap_address,planning_area
Tampines Trading - 828,520828,828 TAMPINES STREET 81 SINGAPORE 520828,TAMPINES
Singapore Pools Woodlands 888 Branch,730888,888 WOODLANDS DRIVE 50 888 PLAZA SINGAPORE 730888,WOODLANDS
Singapore Pools Tampines Mart Branch,529287,11 TAMPINES STREET 32 PLAYFACTO SCHOOL @ TAMPINES SINGAPORE 529287,TAMPINES
Singapore Pools Clementi N3 Branch,120325,325 CLEMENTI AVENUE 5 SINGAPORE 120325,CLEMENTI
Singapore Pools Bencoolen Branch,189646,180 BENCOOLEN STREET THE BENCOOLEN SINGAPORE 189646,ROCHOR
Rangoon Provision Shop,210681,681 RACE COURSE ROAD SINGAPORE 210681,KALLANG
NTUC FairPrice Bukit Batok MRT Station,659958,10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958,BUKIT BATOK
Livewire Singapore Pools,188994,210 MIDDLE ROAD TOTE BOARD (TOTE BOARD) SINGAPORE 188994,ROCHOR
Livewire Marina Bay Sands,18972,2 BAYFRONT AVENUE CRYSTAL PAVILION SOUTH SINGAPORE 018972,DOWNTOWN CORE
Lee Eng Trading Store,522201,201B TAMPINES STREET 21 SINGAPORE 522201,TAMPINES
Cheers Harbourfront Centre,99253,1 MARITIME SQUARE CONSULATE-GENERAL OF THE REPUBLIC OF COTE D'IVOIRE SINGAPORE 099253,BUKIT MERAH
Singapore Pools Woodlands N5 Branch,730548,548 WOODLANDS DRIVE 44 FC SINGAPORE 730548,WOODLANDS
Singapore Pools Toa Payoh Lorong 8 Branch,310212,212 LORONG 8 TOA PAYOH SINGAPORE 310212,TOA PAYOH
Singapore Pools New Upper Changi Branch,462026,26 NEW UPPER CHANGI ROAD SINGAPORE 462026,BEDOK
Singapore Pools Lorong 25A Geylang Branch,388251,62A LORONG 25A GEYLANG SINGAPORE 388251,GEYLANG
Singapore Pools Jurong West N4 Branch,640498,498 JURONG WEST STREET 41 SINGAPORE 640498,JURONG WEST
Singapore Pools Clementi Town Centre Branch,120446,446 CLEMENTI AVENUE 3 SINGAPORE 120446,CLEMENTI
Singapore Pools Bedok Town Centre Branch,460204,204 BEDOK NORTH STREET 1 BEDOK TOWN CENTRE SINGAPORE 460204,BEDOK
Singapore Pools LOT One Branch,689812,21 CHOA CHU KANG AVENUE 4 CHOA CHU KANG LIBRARY SINGAPORE 689812,CHOA CHU KANG
Nan Huat Wine Store,570513,513 BISHAN STREET 13 SINGAPORE 570513,BISHAN
Evercool Engineering,310095,95 LORONG 4 TOA PAYOH TOA PAYOH PALM SPRING SINGAPORE 310095,TOA PAYOH
Tan Boon Tin Agency,440056,56 MARINE TERRACE MARINE TERRACE HAVEN SINGAPORE 440056,MARINE PARADE
Singapore Pools Pasir Ris N2 Branch,510259,259 PASIR RIS STREET 21 LOYANG POINT SINGAPORE 510259,PASIR RIS
Singapore Pools Ang Mo Kio N7 Branch,560726,726 ANG MO KIO AVENUE 6 SINGAPORE 560726,ANG MO KIO
Singapore Pools Ang Mo Kio N2 Branch,560202,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,ANG MO KIO
Seah Geok Eng Agency - Rivervale Plaza,540118,118 RIVERVALE DRIVE FC/MARKET RIVERVALE PLAZA SINGAPORE 540118,SENGKANG
NTUC FairPrice White Sands,518457,1 PASIR RIS CENTRAL STREET 3 PASIR RIS LIBRARY SINGAPORE 518457,PASIR RIS
NTUC FairPrice Sun Plaza,757713,30 SEMBAWANG DRIVE SEMBAWANG LIBRARY SINGAPORE 757713,SEMBAWANG
NTUC FairPrice Jurong Point,648331,63 JURONG WEST CENTRAL 3 BOON LAY BUS INTERCHANGE SINGAPORE 648331,JURONG WEST
NTUC FairPrice Bedok North Street 4,460089,89 BEDOK NORTH STREET 4 SINGAPORE 460089,BEDOK
Giant Sunshine Place,680475,475 CHOA CHU KANG AVENUE 3 KINDERLAND KINDERGARTEN (CHOA CHU KANG) SINGAPORE 680475,CHOA CHU KANG
Cheers Hougang Central,530810,810 HOUGANG CENTRAL ALJUNIED-HOUGANG TOWN COUNCIL (MAIN OFFICE) SINGAPORE 530810,HOUGANG
Vitatron & Medical Co,58963,60A SMITH STREET KRETA AYER CONSERVATION AREA SINGAPORE 058963,OUTRAM
Teo Sook Cheng Agency,760293,293 YISHUN STREET 22 SINGAPORE 760293,YISHUN
Soh Choo Trading,730019,19 MARSILING LANE SINGAPORE 730019,WOODLANDS
Singapore Pools Tampines N4 Branch,520481,481 TAMPINES STREET 44 SINGAPORE 520481,TAMPINES
Singapore Pools Serangoon Central Branch,550254,254 SERANGOON CENTRAL DRIVE SINGAPORE 550254,SERANGOON
Singapore Pools Potong Pasir Branch,350148,148 POTONG PASIR AVENUE 1 SINGAPORE 350148,TOA PAYOH
