outlet_name,neighborhood_type,wins,expected_wins,std_residual,p_two,p_adj,significant
Livewire Marina Bay Sands,commercial,57,23.4,6.96,5.953342879255477e-09,3.1722812770889905e-08,True
Singapore Pools Jalan Batu Branch,residential,41,14.6,6.93,2.0995169312987496e-08,1.0304208097032021e-07,True
NTUC FairPrice Eastpoint Mall,residential,80,38.8,6.6,9.994952345265407e-09,5.037996249708104e-08,True
Singapore Pools Chinatown Point Branch,commercial,92,48.3,6.29,2.8932071762671374e-08,1.401514645126808e-07,True
Tay Sui Lan Agency,commercial,123,71.6,6.08,4.329974829697155e-08,2.070616168560306e-07,True
Singapore Pools Ang Mo Kio N7 Branch,residential,88,47.0,5.99,1.1834505668794279e-07,5.449716807975637e-07,True
Tampines Trading - 828,residential,111,64.1,5.86,1.390402702723055e-07,6.324636684337799e-07,True
Livewire (Resorts World Sentosa),commercial,63,31.1,5.72,6.657959367083151e-07,2.614125098865279e-06,True
Singapore Pools Choa Chu Kang Branch,residential,95,53.4,5.7,3.5402571924378644e-07,1.4672399253103594e-06,True
Singapore Pools Holland Drive Branch,residential,93,52.4,5.61,5.20624221598838e-07,2.088094996305017e-06,True
Singapore Pools Lorong 25A Geylang Branch,residential,102,59.2,5.56,5.693850252130881e-07,2.2593682383455514e-06,True
NTUC FP Square 2,residential,32,12.5,5.51,5.758445657701554e-06,1.935045252542955e-05,True
Gerk Chwee Trading,residential,69,36.2,5.46,1.5615783169419416e-06,5.824687122193442e-06,True
NTUC FairPrice Yishun Ring Road,residential,73,39.7,5.29,2.7601381302437342e-06,9.899341563278008e-06,True
NTUC FairPrice Tampines Mall,residential,125,78.5,5.25,1.6103831905613314e-06,5.947256733459174e-06,True
Singapore Pools Bukit Gombak Branch,residential,74,41.1,5.14,4.817213822415411e-06,1.6637229220008778e-05,True
Singapore Pools LOT One Branch,residential,27,10.5,5.11,2.7972857181270994e-05,8.552357154601706e-05,True
Mee Lee Cheong Pte. Ltd.,residential,114,71.4,5.04,4.201523271179834e-06,1.4646431590187645e-05,True
NTUC FairPrice Yishun MRT Station,residential,103,64.3,4.83,1.0818859267506998e-05,3.5090734841566175e-05,True
Clifford Gift Shop,residential,111,70.6,4.81,1.0918743757045997e-05,3.510940880498411e-05,True
Springdale Garments Co,residential,88,53.2,4.76,1.605035103186786e-05,5.0735431651582304e-05,True
NTUC FairPrice Clementi Avenue 2,residential,62,34.3,4.73,2.7021106852874535e-05,8.329646988530745e-05,True
Singapore Pools Ang Mo Kio N2 Branch,residential,82,50.3,4.47,5.0738628666334174e-05,0.00015386592270359877,True
NTUC FairPrice New Upper Changi Road,residential,66,38.6,4.41,7.465236740816154e-05,0.00020780099286003175,True
NTUC FairPrice White Sands,residential,81,50.1,4.37,7.305173697105114e-05,0.00020487442022708326,True
Singapore Pools Northpoint City Branch,residential,17,6.2,4.35,0.0004909618907617071,0.001245774049347733,True
Singapore Pools Changi Road Branch,residential,31,14.5,4.34,0.00021921502882335715,0.0005799092606461859,True
7-Eleven Store Eunos Crescent,residential,98,63.9,4.26,9.07459120751245e-05,0.0002488840088530988,True
Cheers New Upper Changi Road,residential,51,28.7,4.17,0.00020932840397783195,0.0005617229833361965,True
Singapore Pools Bedok Town Centre Branch,residential,79,49.8,4.13,0.0001664484180303428,0.00045317707974684566,True
NTUC FairPrice Kallang Wave Mall,mixed,17,6.5,4.1,0.0009038046243236798,0.0022178889794258723,True
Singapore Pools Toa Payoh Lorong 1 Branch,residential,87,56.6,4.05,0.00020588312593537912,0.0005564812027093942,True
NTUC FairPrice Jem,mixed,65,40.2,3.92,0.00038669158132132825,0.0010086430757542339,True
NTUC FairPrice Toa Payoh HDB Centre,residential,91,61.3,3.8,0.00045718645377569735,0.0011751105527608233,True
NTUC FairPrice E!Hub @ Downtown East,residential,27,13.3,3.76,0.0012410767571556125,0.0029674463488400223,True
Singapore Pools Bencoolen Branch,commercial,68,45.4,3.35,0.002126843395771338,0.00477899148567897,True
Dawn Florist - Aljunied Avenue 2,residential,8,2.6,3.29,0.011796784393789577,0.021675864920608433,True
Hock Soon Ann,residential,27,14.5,3.28,0.0042233797590210155,0.008850116011881118,True
Singapore Pools Ang Mo Kio N4 Branch,residential,84,58.8,3.28,0.0023506884419160043,0.0052190880287777955,True
Kim Chwee Trading,residential,74,51.5,3.13,0.0037253146950136035,0.00806666663795659,True
Tuck Lee Long,residential,63,42.6,3.13,0.0039854064104716735,0.008446344267647354,True
STC Racecourse - Kranji 1,mixed,7,2.3,3.07,0.01967885895775539,0.03382587277070396,True
NTUC FairPrice Hillion Mall,residential,30,17.2,3.07,0.006611904112206291,0.012951127127347016,True
Ng Nam Thye Trading - Ang Mo Kio Avenue 3,residential,32,18.8,3.04,0.006929987994927113,0.01339318923371924,True
Singapore Pools Lorong Lew Lian Branch,residential,40,24.9,3.01,0.00663181040569244,0.012951127127347016,True
Singapore Pools Hougang N2 Branch,residential,90,65.8,2.98,0.0052931065488047695,0.010788681654121198,True
Cheers Hougang Central,residential,79,56.6,2.97,0.005732335007780148,0.01137319658458508,True
Goh Geok Kwee Agency - Bukit Merah,residential,25,14.0,2.95,0.009801421095693362,0.018371507882882533,True
Everstream Trading,residential,93,68.7,2.93,0.006087662088825758,0.012014274916042369,True
NTUC FairPrice Limbang Shopping Centre,residential,51,34.0,2.91,0.007887953113537705,0.015088238519741353,True
7-Eleven Store Owen Road,residential,48,31.9,2.84,0.0094750171058311,0.01794000700748731,True
NTUC FairPrice Lot 1 Shoppers' Mall,residential,63,44.1,2.84,0.008686454888530879,0.016530855476642948,True
NTUC FairPrice VivoCity,mixed,13,6.1,2.83,0.018820609199519986,0.032804145941219415,True
S E Store,residential,44,28.8,2.83,0.010211082903157755,0.018948924989442003,True
Soh Choo Trading,residential,70,50.2,2.79,0.009536369564809605,0.017964979028656475,True
NTUC FairPrice Hougang Street 21,residential,43,28.4,2.74,0.012654994570265338,0.02313878909171064,True
Singapore Pools Woodlands 888 Branch,residential,103,78.8,2.73,0.010083415277362262,0.018805569492280617,True
Singapore Pools Ghim Moh Branch,residential,63,45.3,2.62,0.014941510529167236,0.026923591436615355,True
Lee Eng Trading Store,residential,109,85.0,2.6,0.013946885873008415,0.02537652892991287,True
Nan Huat Wine Store,residential,93,71.7,2.51,0.017971353278464493,0.031522915854686064,True
Jake Merchandise Associates,residential,91,70.1,2.49,0.019019398401501915,0.032996444668652154,True
NTUC FairPrice Jurong Point,mixed,118,93.8,2.49,0.018001021654284535,0.031522915854686064,True
7-Eleven Store Plaza Singapura,mixed,48,34.7,2.26,0.03742676966139426,0.06096150691572078,False
NTUC FairPrice Yew Tee Point,residential,79,61.4,2.24,0.03497605255974809,0.057219594757833496,False
Singapore Pools Suntec City Branch,commercial,73,56.4,2.21,0.03826892730727889,0.06206221689397838,False
Cold Storage Northpoint,residential,52,38.8,2.12,0.04879035249070329,0.07810644411601858,False
Singapore Pools Teban Gardens Branch,mixed,64,49.6,2.04,0.055924571245318445,0.08876538329576077,False
Seah Geok Eng Agency - Rivervale Plaza,residential,103,84.4,2.03,0.054312502819327084,0.086575057912859,False
NTUC FairPrice Sun Plaza,residential,87,70.9,1.91,0.07022033262818081,0.10778676572144627,False
Singapore Pools Canberra Branch,residential,64,50.5,1.9,0.0752698382756293,0.1145944884767744,False
Giant Sunshine Place,residential,51,39.2,1.89,0.07909626540634604,0.11944496759743754,False
Tan Ah Leck Trading - Jurong East Street 31,residential,10,5.6,1.87,0.11553866235021051,0.16511847148133532,False
Cheng Chew Wah Agency - Bedok South Road,residential,26,18.3,1.81,0.10277242476574312,0.14915997835650655,False
Singapore Pools Bishan N2 Branch,residential,66,52.9,1.8,0.09025876470711164,0.13359729855457397,False
Cold Storage Compass One,residential,73,59.6,1.74,0.10131171163761601,0.1476143298469952,False
NTUC FairPrice Seletar Mall,residential,21,14.4,1.72,0.12388584864975319,0.17637183796319825,False
Singapore Pools Pasir Ris N2 Branch,residential,98,83.3,1.62,0.12441704581014652,0.17645459348739412,False
Singapore Pools Woodlands N5 Branch,residential,67,55.8,1.5,0.15922696999370256,0.22161067092407108,False
Singapore Pools Ang Mo Kio N2A Branch,residential,61,50.4,1.5,0.15896223065802778,0.22161067092407108,False
Singapore Racecourse - MRT Plaza (Public),mixed,2,0.7,1.47,0.33768357901807405,0.4298838736305175,False
Tan Ah Leck Trading - Bukit Batok Street 11,residential,84,71.6,1.47,0.16383091333460847,0.2271707459992898,False
